block,block_Integer,block_Alphabet,block_alp_int
769,769,,0
966,966,,0
945,945,,0
889,889,,0
941,941,,0
795A,795,A,1
947,947,,0
889A,889,A,1
871A,871,A,1
887A,887,A,1
946,946,,0
874A,874,A,1
918,918,,0
888A,888,A,1
869,869,,0
976,976,,0
979,979,,0
567,567,,0
485B,485,B,2
10F,10,F,6
150A,150,A,1
948,948,,0
230C,230,C,3
230J,230,J,9
43A,43,A,1
953,953,,0
488A,488,A,1
491B,491,B,2
492C,492,C,3
486B,486,B,2
495E,495,E,5
789,789,,0
980,980,,0
823,823,,0
974,974,,0
489C,489,C,3
496B,496,B,2
217A,217,A,1
965,965,,0
975,975,,0
880A,880,A,1
488B,488,B,2
495F,495,F,6
952,952,,0
506B,506,B,2
496E,496,E,5
491F,491,F,6
94B,94,B,2
961,961,,0
830A,830,A,1
487B,487,B,2
491H,491,H,8
500,500,,0
487C,487,C,3
494B,494,B,2
495A,495,A,1
950,950,,0
495C,495,C,3
796A,796,A,1
640A,640,A,1
42A,42,A,1
382,382,,0
664A,664,A,1
842E,842,E,5
94D,94,D,4
856B,856,B,2
568,568,,0
485A,485,A,1
385,385,,0
856E,856,E,5
506A,506,A,1
230E,230,E,5
663A,663,A,1
793,793,,0
491C,491,C,3
645A,645,A,1
486C,486,C,3
497D,497,D,4
893D,893,D,4
636A,636,A,1
94C,94,C,3
497F,497,F,6
497J,497,J,9
633A,633,A,1
223A,223,A,1
637A,637,A,1
566,566,,0
842D,842,D,4
535A,535,A,1
496C,496,C,3
496D,496,D,4
10E,10,E,5
491A,491,A,1
496F,496,F,6
99C,99,C,3
569,569,,0
496G,496,G,7
491D,491,D,4
493B,493,B,2
99B,99,B,2
101B,101,B,2
493D,493,D,4
493A,493,A,1
493C,493,C,3
495B,495,B,2
99A,99,A,1
94E,94,E,5
493E,493,E,5
491E,491,E,5
491G,491,G,7
492B,492,B,2
492D,492,D,4
101A,101,A,1
490A,490,A,1
384,384,,0
230D,230,D,4
230F,230,F,6
230G,230,G,7
495D,495,D,4
230B,230,B,2
489B,489,B,2
383,383,,0
230H,230,H,8
490B,490,B,2
486A,486,A,1
842B,842,B,2
842C,842,C,3
856C,856,C,3
828A,828,A,1
580,580,,0
842F,842,F,6
842H,842,H,8
856D,856,D,4
172A,172,A,1
579,579,,0
856F,856,F,6
700,700,,0
842G,842,G,7
581,581,,0
583,583,,0
253A,253,A,1
10B,10,B,2
10C,10,C,3
10D,10,D,4
582,582,,0
574,574,,0
104A,104,A,1
497B,497,B,2
497A,497,A,1
7A,7,A,1
497C,497,C,3
497G,497,G,7
497H,497,H,8
80A,80,A,1
104B,104,B,2
450E,450,E,5
450C,450,C,3
82A,82,A,1
80B,80,B,2
450F,450,F,6
82B,82,B,2
124A,124,A,1
450D,450,D,4
894D,894,D,4
891A,891,A,1
450A,450,A,1
498E,498,E,5
498H,498,H,8
498J,498,J,9
498D,498,D,4
84B,84,B,2
81A,81,A,1
81B,81,B,2
894C,894,C,3
891B,891,B,2
124B,124,B,2
4C,4,C,3
450G,450,G,7
498B,498,B,2
498F,498,F,6
894B,894,B,2
892A,892,A,1
892B,892,B,2
498A,498,A,1
498G,498,G,7
498L,498,L,10
84A,84,A,1
4B,4,B,2
498M,498,M,11
893B,893,B,2
893C,893,C,3
893A,893,A,1
29A,29,A,1
367A,367,A,1
892,892,,0
896C,896,C,3
896B,896,B,2
895C,895,C,3
897B,897,B,2
897C,897,C,3
299,299,,0
899B,899,B,2
891,891,,0
895B,895,B,2
898B,898,B,2
899C,899,C,3
30A,30,A,1
92A,92,A,1
893,893,,0
290F,290,F,6
290B,290,B,2
290G,290,G,7
291A,291,A,1
290C,290,C,3
787B,787,B,2
786B,786,B,2
787E,787,E,5
786C,786,C,3
290D,290,D,4
291D,291,D,4
291B,291,B,2
290E,290,E,5
787D,787,D,4
786F,786,F,6
291E,291,E,5
290A,290,A,1
288D,288,D,4
288B,288,B,2
787C,787,C,3
786D,786,D,4
786E,786,E,5
613A,613,A,1
291C,291,C,3
289A,289,A,1
613B,613,B,2
289B,289,B,2
288A,288,A,1
484A,484,A,1
288G,288,G,7
287D,287,D,4
14B,14,B,2
288C,288,C,3
286A,286,A,1
285B,285,B,2
287C,287,C,3
286D,286,D,4
287A,287,A,1
286B,286,B,2
287B,287,B,2
286C,286,C,3
289D,289,D,4
285A,285,A,1
285D,285,D,4
59A,59,A,1
59B,59,B,2
3A,3,A,1
14A,14,A,1
289F,289,F,6
285C,285,C,3
59C,59,C,3
628B,628,B,2
289C,289,C,3
232A,232,A,1
628A,628,A,1
300,300,,0
684C,684,C,3
288E,288,E,5
962,962,,0
236A,236,A,1
625B,625,B,2
788E,788,E,5
484C,484,C,3
517C,517,C,3
502A,502,A,1
289E,289,E,5
289G,289,G,7
484B,484,B,2
484D,484,D,4
676A,676,A,1
671A,671,A,1
699B,699,B,2
224D,224,D,4
206A,206,A,1
234A,234,A,1
682A,682,A,1
624A,624,A,1
